
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"Mito 38","GTY029 25C (cropped)","Mito","23","0.0274","822","991","903.3","20776","39.84","321","438","387.26","8907","24.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","757.32","947.5","859.71","19773.23","56.66","585.87","667.96","615.32","14152.25","25.57","N/A","56"
"Mito 39","GTY029 25C (cropped)","Mito","66","0.0786","766","944","855.62","56471","34.91","353","474","421.41","27813","23.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","593.64","848.49","733.7","48424.1","62.85","586.74","791.14","653.73","43146","52.15","N/A","57"
"Mito 40","GTY029 25C (cropped)","Mito","15","0.0179","745","903","802.67","12040","38.53","343","438","392.87","5893","26.12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","606.31","750.01","684.26","10263.97","42.85","585.83","672.33","629","9434.98","24.54","N/A","N/A"
"Mito 41","GTY029 25C (cropped)","Mito","3120","3.71","664","1071","880.4","2746859","65.97","357","1761","802.65","2504275","240.72","1853","2123","1996.98","942573","57.53","2332","2669","2515.81","1187463","71","565.57","3006.91","1225.47","3823454.25","408.37","585.3","23652.17","2758.06","8605160","3332","N/A","N/A"
"Mito 42","GTY029 25C (cropped)","Mito","3687","4.39","686","1130","940.21","3466565","56.87","348","1613","766.37","2825616","220.76","1884","2253","2067.95","905764","66.48","2365","2862","2607","1141868","85.21","527","2194.15","1232.52","4544304.5","271.96","585.43","15903.45","2375.61","8758877","2523.58","N/A","N/A"
"Mito 43","GTY029 25C (cropped)","Mito","12","0.0143","823","931","884.67","10616","28.26","484","561","524.42","6293","24.29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.9","800.78","769.47","9233.6","20.27","599.93","657.95","623.64","7483.72","19.52","N/A","57"
"Mito 44","GTY029 25C (cropped)","Mito","13","0.0155","776","932","860.77","11190","40.26","352","400","371.92","4835","14.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","655.18","796.67","719.63","9355.21","45.17","604.25","682.99","637.17","8283.21","24.86","N/A","56"
"Mito 45","GTY029 25C (cropped)","Mito","2534","3.02","737","1217","998.45","2530070","68.34","362","1255","667.66","1691841","166.73","1682","2162","1850.97","605266","91.59","2135","2765","2358.95","771377","120.65","700.91","2515.71","1298.07","3289313.75","345.13","585.29","19444.8","1881.45","4767596.5","2147.47","N/A","57"
"Mito 46","GTY029 25C (cropped)","Mito","10159","12.1","777","1301","1023.85","10401254","75.73","366","1531","741.16","7529454","218.81","1581","2265","1971.86","2277498","123.6","2060","3013","2546.83","2941584","160.79","636.86","2853.56","1317.01","13379549","402.31","585.31","16808.74","2020.65","20527788","2270.98","N/A","57"
"Mito 47","GTY029 25C (cropped)","Mito","1750","2.08","765","1032","899.31","1573797","43.9","334","819","556.01","973016","87.76","1734","2203","2014.88","612524","106.88","2264","2891","2616.74","795488","143.66","578.85","1928.59","1081.61","1892821.25","206.5","586.08","8328.87","1688.56","2954983","1237.13","N/A","N/A"
