filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 36C 17 (cropped)_c-2m-80.csv,253,GTY029 36C 17 (cropped),Mito 17,Mito,Object,11.53,646,1278,892.51,8640376,83.58,546.48,3501.72,1143.61,11071276,366.39,289,1339,586.56,5678478,166.43,451.95,6539.19,1121.05,10852890,937.33,NA,234
GTY029 36C 17 (cropped)_c-2m-80.csv,254,GTY029 36C 17 (cropped),Mito 18,Mito,Object,0.357,656,930,817.43,245230,45.76,626.82,2074.3,1096.11,328833,311.5,281,581,383.37,115011,59.95,453.9,5883.16,1122.9,336870.97,946.79,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,255,GTY029 36C 17 (cropped),Mito 19,Mito,Object,14.78,621,1260,853.72,10594604,82.33,487.71,4698.95,1064.64,13212131,409.63,267,1883,630.57,7825402,203.71,451.99,25076.13,1299.4,16125530,1617.26,NA,236
GTY029 36C 17 (cropped)_c-2m-80.csv,256,GTY029 36C 17 (cropped),Mito 20,Mito,Object,1.65,704,1010,850.81,1175815,45.37,606.54,1950.87,1086.49,1501530.37,222.43,284,572,386.64,534333,43.21,452.1,2965.75,819.19,1132120.13,437.48,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,257,GTY029 36C 17 (cropped),Mito 21,Mito,Object,0.025,780,957,874.24,18359,40.88,725.26,997.01,853.81,17930.11,74.55,351,404,382.76,8038,15.38,452.4,530.4,480.37,10087.83,22.19,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,258,GTY029 36C 17 (cropped),Mito 22,Mito,Object,0.0286,658,791,720.38,17289,33.3,527.62,718.72,633.86,15212.73,50.3,318,388,348.58,8366,18.4,452.08,505.92,473.25,11357.92,15.97,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,259,GTY029 36C 17 (cropped),Mito 23,Mito,Object,0.0572,661,804,727.46,34918,32.35,519.34,790.51,605.59,29068.4,65.07,329,428,377.44,18117,21.99,453.04,508.78,471.85,22648.62,14.31,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,260,GTY029 36C 17 (cropped),Mito 24,Mito,Object,0.0155,783,879,826,10738,24.97,739.71,860.44,813.76,10578.89,37.31,294,363,322.85,4197,17.55,452.59,482.73,470.59,6117.72,9.36,NA,234
GTY029 36C 17 (cropped)_c-2m-80.csv,261,GTY029 36C 17 (cropped),Mito 25,Mito,Object,0.3,797,1026,899.39,226647,43.71,694.32,1776.67,1030.55,259698.66,214.65,306,637,394.02,99294,57.27,454.23,5012.87,913.59,230223.5,765.87,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,262,GTY029 36C 17 (cropped),Mito 26,Mito,Object,26.98,610,1253,879.34,19928514,89.54,440.37,3745.37,1086.74,24628832,380.07,320,1712,645.81,14635925,217.98,451.95,18955,1257.34,28495142,1531.12,NA,NA
