
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Mito 35","GTY029 25C 7 (cropped)","Mito","106","0.126","772","974","877.65","93031","36.31","620.45","896.54","750.2","79520.94","65.44","342","494","401.97","42609","27.32","459.2","574.08","489.13","51847.86","25.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12182"
"Mito 36","GTY029 25C 7 (cropped)","Mito","5427","6.46","653","1244","921.66","5001849","78.86","554.63","3442.59","1145.98","6219257.5","380.2","314","1483","651.44","3535355","205.55","458.45","15971.9","1708.81","9273716","2130.58","1830","2325","2024.59","1030515","89.25","2364","3069","2598.22","1322492","116.35","N/A","12182"
"Mito 37","GTY029 25C 7 (cropped)","Mito","7224","8.6","758","1203","963.75","6962155","63.81","617.36","2696.25","1163.49","8405069","261.08","338","1269","573.3","4141543","134.33","458.47","12341.53","1331.86","9621366","1296.71","1923","2354","2092.11","1767835","90.13","2368","2941","2593.44","2191459","110.71","N/A","12183"
"Mito 38","GTY029 25C 7 (cropped)","Mito","10","0.0119","865","979","927","9270","35.82","612.11","947.45","781.79","7817.86","97.55","368","442","397.2","3972","22.63","460","491.47","474.85","4748.51","8.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 39","GTY029 25C 7 (cropped)","Mito","10200","12.15","722","1466","964.38","9836667","71.05","539.87","6597.32","1150.21","11732140","356.43","330","1264","563.32","5745840","116.79","458.47","16743.79","1305.01","13311067","1305.9","1878","2486","2144.3","1992052","106.88","2269","3064","2636.06","2448904","132.53","N/A","12183"
"Mito 40","GTY029 25C 7 (cropped)","Mito","315","0.375","872","1135","982.11","309366","47.1","679.34","1975.54","1067.03","336115.22","272.93","364","806","515.88","162502","90.08","458.47","9737.7","1435.94","452319.72","1615.9","1842","2226","2044.02","98113","107.63","2315","2751","2536.58","121756","133.03","N/A","12183"
"Mito 41","GTY029 25C 7 (cropped)","Mito","17661","21.03","658","1201","908.68","16048180","72.07","488.15","2758.18","1079.51","19065220","297.92","273","1708","599.53","10588291","201.57","458.48","20485.51","1315.54","23233712","1646.52","1547","2385","1962.88","3266229","143.71","2105","3207","2650","4409595","193.59","N/A","12181"
"Mito 42","GTY029 25C 7 (cropped)","Mito","17","0.0202","765","907","831.76","14140","35.5","621.28","743.6","678.07","11527.21","40.5","325","419","376.29","6397","25.67","460","514.94","484.24","8232.06","17.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12181"
"Mito 43","GTY029 25C 7 (cropped)","Mito","30","0.0357","878","1004","938.23","28147","34.9","763.24","933.75","834.34","25030.3","35.89","346","440","388.73","11662","22.62","458.9","527.95","482.45","14473.52","20.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 44","GTY029 25C 7 (cropped)","Mito","11","0.0131","858","983","918","10098","33.83","704.93","768.81","742.91","8172.01","18.05","347","426","393.64","4330","21.43","460.76","492.18","475.55","5231.03","11.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 45","GTY029 25C 7 (cropped)","Mito","16922","20.15","674","1204","910.22","15402739","68.95","480.04","3238.69","1085.56","18369854","301.03","336","1864","699.57","11838166","231.02","458.5","20800.05","1548.06","26196256","1931.24","1893","2450","2089.45","2641069","85.03","2339","3065","2621.67","3313789","114.61","N/A","12184"
"Mito 46","GTY029 25C 7 (cropped)","Mito","14","0.0167","833","946","887.64","12427","29.79","585.81","787.24","699.11","9787.47","61.11","342","400","373","5222","17.98","458.7","490.54","471.79","6605.02","9.79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 47","GTY029 25C 7 (cropped)","Mito","10712","12.75","697","1236","924.49","9903189","78.21","536.16","2697.74","1100.19","11785242","322.19","322","2105","718.5","7696622","289.7","458.47","25622.73","1584.79","16976234","2093.68","1917","2574","2113.51","1739419","101.24","2355","3167","2628.12","2162945","122.29","N/A","12184"
