
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))"
"Whole cells prelim 162","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","882.77","882.77","882.77","882.77","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 163","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","832.18","832.18","832.18","832.18","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 164","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","628.84","628.84","628.84","628.84","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 165","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.56","692.56","692.56","692.56","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 166","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","655.69","655.69","655.69","655.69","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 167","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","605.91","605.91","605.91","605.91","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 168","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","679.88","679.88","679.88","679.88","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 169","GTY029 25C 2","Whole cells prelim","101016","120.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","409.69","2992.76","922.68","93205080","251.38","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 170","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","845.3","893.79","869.55","1739.09","24.24","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 171","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","701.57","701.57","701.57","701.57","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 172","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","701.59","886.58","795.43","3181.73","65.48","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 173","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","728.63","728.63","728.63","728.63","0","N/A","N/A","N/A","N/A","N/A"
"Mito 1","GTY029 25C 2","Mito","13","0.0155","767","852","821.77","10683","22.65","356","460","395","5135","26.98","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.76","871.27","775.53","10081.89","50.88","526.28","555.1","538.68","7002.79","8.4"
"Mito 2","GTY029 25C 2","Mito","12","0.0143","846","935","883.67","10604","27.55","380","430","399.92","4799","16.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","797.89","897.85","850.62","10207.44","31.17","526.91","567.89","545.61","6547.36","11.91"
"Mito 3","GTY029 25C 2","Mito","114","0.136","749","950","855.5","97527","37.93","391","527","443.63","50574","25.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.11","1133.64","896.78","102233.13","108.05","526.1","703.83","564.88","64396.38","40.71"
"Mito 4","GTY029 25C 2","Mito","13","0.0155","887","983","931.85","12114","30.85","371","456","414.46","5388","21.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","941.08","1140.97","1074.18","13964.4","58.27","527.16","592.05","551.56","7170.26","23.65"
"Mito 5","GTY029 25C 2","Mito","42","0.05","827","1034","907.38","38110","45.12","371","477","413.79","17379","21.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","888.1","1377.96","1013.84","42581.39","123.26","526.28","634.07","567.21","23822.74","28.35"
"Mito 6","GTY029 25C 2","Mito","41","0.0488","857","1041","942.73","38652","35.33","441","564","509.51","20890","29.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","886.41","1130.64","999.97","40998.88","71.56","528.09","681.42","587.19","24074.62","45.92"
"Mito 7","GTY029 25C 2","Mito","36","0.0429","829","1016","904.28","32554","36.72","374","458","418.42","15063","21.18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","916.32","1313.05","1107.7","39877.38","126.79","526.84","668.09","567.84","20442.41","36.33"
"Mito 8","GTY029 25C 2","Mito","1011","1.2","817","1226","961.6","972180","52.87","346","957","565.29","571505","115.41","2060","2253","2157.34","224363","43.96","2533","2863","2725.19","283420","59.84","631.29","6032.78","1294.31","1308549","371.24","526.38","8763.07","1671.43","1689815","1477.47"
"Mito 9","GTY029 25C 2","Mito","59","0.0703","817","1025","896.12","52871","45.18","350","489","414.51","24456","29.45","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","800.38","1356.45","1027.65","60631.52","154.14","526.43","646.99","569.01","33571.71","31.68"
"Mito 10","GTY029 25C 2","Mito","19","0.0226","822","937","879.21","16705","30.77","331","383","354.63","6738","15.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","788.57","1752.76","1045.87","19871.44","257.88","527.29","606.11","562.22","10682.24","22.65"
"Mito 11","GTY029 25C 2","Mito","12","0.0143","729","812","784.75","9417","27.23","413","472","447.5","5370","17.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","808.07","1033.25","907.44","10889.3","70.52","527.41","563.61","543.64","6523.71","13.48"
"Mito 12","GTY029 25C 2","Mito","52","0.0619","762","965","864.71","44965","42.72","379","484","420.25","21853","23.89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","601.35","1220.12","854.22","44419.51","146.29","526.15","698.27","589.88","30673.67","46.21"
"Mito 13","GTY029 25C 2","Mito","10","0.0119","708","795","733.3","7333","25.04","278","306","290.8","2908","8.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","816.66","1115.34","972.13","9721.33","105.54","528.46","708.37","615.3","6153.05","59.6"
"Mito 14","GTY029 25C 2","Mito","334","0.398","793","995","889.79","297191","38.53","299","591","399.23","133344","58.7","2056","2372","2194.16","54854","88.12","2660","3035","2821.56","70539","100.17","676.78","2039.87","1123.56","375270.66","167.66","526.1","5920.99","1227.54","409997.53","908.28"
"Mito 15","GTY029 25C 2","Mito","763","0.909","782","1062","908.69","693334","48.29","329","988","534.23","407618","125.09","1771","2087","1945.25","231485","70.3","2194","2611","2428.76","289023","90.12","563.89","2498.13","1133.67","864988.88","351.82","525.94","15510.61","1988.33","1517099.13","2144.41"
"Mito 16","GTY029 25C 2","Mito","606","0.722","831","1147","1004.68","608839","49.15","331","711","516.15","312786","75.33","1876","2167","2020.64","151548","74.19","2367","2760","2583.61","193771","99.83","718.87","2486.86","1449.32","878287.5","362.08","526.02","6573.38","1591.49","964443.13","1274.53"
"Mito 17","GTY029 25C 2","Mito","406","0.483","774","1074","926.28","376071","50.01","351","1024","565.21","229477","142.4","1999","2163","2074.38","168025","35.31","2488","2695","2575.04","208578","43.26","652.73","2250.41","1337.94","543201.69","359.83","527.6","11840.44","2185.82","887441.06","2388.15"
"Mito 18","GTY029 25C 2","Mito","558","0.664","722","946","837.72","467449","39","300","575","395.47","220672","48.94","1872","2097","1976.78","197678","53.86","2385","2695","2508.55","250855","71.15","637.9","1863.24","1064.25","593849.56","216.43","526.38","5498.23","1218","679642.88","809.17"
"Mito 19","GTY029 25C 2","Mito","1424","1.7","716","968","834.38","1188152","39.65","304","668","432.01","615183","60.18","1836","2547","2097.78","505565","127.49","2318","3242","2682.84","646564","168.91","471.87","1773.97","984.5","1401931.5","216.88","526.1","4976.14","1198.92","1707261.75","767.92"
"Mito 20","GTY029 25C 2","Mito","2296","2.73","756","1103","929.31","2133700","57.11","346","1091","580.26","1332286","140.84","1806","2227","1966.05","619307","87.12","2306","2820","2485.2","782838","103.22","618.68","2426.62","1238.62","2843865.25","351.2","525.91","15038.59","1858.95","4268144.5","1984.64"
"Mito 21","GTY029 25C 2","Mito","2025","2.41","685","1235","956.57","1937048","80.57","326","1386","597.67","1210277","176.71","1846","2173","2005.07","553400","72.49","2321","2728","2536.67","700122","92.3","537.68","4644.73","1317.52","2667978","558.52","526","15510.38","1894.31","3835980.25","2135.33"
"Mito 22","GTY029 25C 2","Mito","541","0.644","754","1173","927.15","501589","63.72","338","1037","566.4","306423","159.57","1898","2097","1977.39","177965","38.34","2335","2596","2468.61","222175","55.31","474.91","3668.65","1365.31","738632.06","550.46","526.44","17473.04","2202.48","1191543.63","2792.06"
"Mito 23","GTY029 25C 2","Mito","383","0.456","841","2227","1120.66","429214","218.29","362","771","498.76","191026","69.22","1896","2097","2025.81","85084","43.72","2479","2695","2595.9","109028","54.81","463.88","25958.83","2391.07","915781.06","3516.46","526.82","9209.74","1561.91","598212.38","1429.61"
"Mito 24","GTY029 25C 2","Mito","695","0.828","738","1031","868.29","603462","48.56","308","850","487.47","338791","106.11","1674","2121","1836.6","271817","115.5","2129","2704","2342.28","346658","150.26","550.09","2156.66","1154.82","802597.94","331.83","526.85","11814.11","1651.86","1148044.25","1596.02"
"Mito 25","GTY029 25C 2","Mito","18","0.0214","710","843","791.83","14253","33.71","262","336","296.06","5329","20.42","1887","1936","1914.63","15317","13.94","2332","2475","2408.25","19266","42.46","643.15","906.34","767.93","13822.74","84.96","533.94","813.57","633.32","11399.78","71.98"
"Mito 26","GTY029 25C 2","Mito","3266","3.89","716","1056","868.44","2836338","47.76","297","745","451.54","1474721","70.14","1745","2222","2059.92","817787","99.26","2224","2866","2631.1","1044545","134.55","501.36","2241.53","1094.25","3573833.25","242.92","525.98","6154.52","1174.73","3836665","750.6"
"Mito 27","GTY029 25C 2","Mito","1846","2.2","710","1158","926.13","1709645","76.92","310","1203","642.9","1186789","193.88","1646","2013","1823.7","399391","68.66","2201","2666","2455.05","537657","92.63","551.75","2852.26","1325.5","2446877.5","379.92","526.06","14749.35","1986.53","3667135.5","2209.36"
"Mito 28","GTY029 25C 2","Mito","23","0.0274","926","1055","995.13","22888","28.25","404","508","455.74","10482","22.14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","886.62","1197.99","1031.54","23725.48","85.69","528.2","641.29","570.45","13120.27","36.63"
"Mito 29","GTY029 25C 2","Mito","30","0.0357","856","1028","938.43","28153","39.1","324","390","362.83","10885","15.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","827.05","1245.45","1022.9","30686.93","132.27","527.53","577.15","550.64","16519.13","15.83"
"Mito 30","GTY029 25C 2","Mito","106","0.126","665","862","764.38","81024","37.63","299","439","351.39","37247","27.25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","510.35","853.55","677.64","71829.34","71.51","526.29","711.83","577.27","61190.95","45.55"
"Mito 31","GTY029 25C 2","Mito","15","0.0179","706","839","794.73","11921","32.44","340","405","373.4","5601","17.66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","578.11","854.22","690.96","10364.46","81.7","528.4","606.02","552.94","8294.1","24.97"
"Mito 32","GTY029 25C 2","Mito","10","0.0119","861","974","897","8970","29.21","385","447","416.9","4169","19.47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","853.14","1018.53","943.45","9434.53","59.31","528.02","568.13","545.34","5453.44","13.31"
"Mito 33","GTY029 25C 2","Mito","17","0.0202","888","1048","965.76","16418","40.14","376","448","410.94","6986","21.37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","737","1187.94","931.62","15837.56","147.64","526.74","590.53","554.76","9430.89","18.7"
"Mito 34","GTY029 25C 2","Mito","30","0.0357","857","1075","932.5","27975","43.03","326","394","361.37","10841","16.98","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","721.48","1102.39","873.47","26204","101.65","528.13","663.37","576.23","17286.79","36.95"
"Mito 35","GTY029 25C 2","Mito","18","0.0214","850","947","895.22","16114","26.77","364","424","395.33","7116","17.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","753.82","958.12","847.09","15247.68","56.98","532.3","642.29","579.32","10427.72","34.33"
"Mito 36","GTY029 25C 2","Mito","20","0.0238","913","1025","981.8","19636","30.58","385","445","408","8160","17.15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","815.66","1147.61","1002.44","20048.8","83.72","526.07","645.29","573.94","11478.8","37.87"
"Mito 37","GTY029 25C 2","Mito","64","0.0762","872","1111","994.53","63650","43.9","384","510","448.66","28714","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","899.87","1177.81","1027.4","65753.31","69.74","527","697.82","590.66","37802.35","47.83"
"Mito 38","GTY029 25C 2","Mito","4528","5.39","773","1208","972.43","4403144","63.1","323","1211","617.24","2794878","150.92","1971","2341","2145.09","1402889","69.23","2444","2902","2662.35","1741177","85.5","485.57","3138.04","1241.71","5622442","348.21","526.01","16567.48","1849.5","8374538","1875.75"
"Mito 39","GTY029 25C 2","Mito","10","0.0119","915","980","944.7","9447","20.69","356","428","398.3","3983","19.39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","691.5","958.43","805.59","8055.93","71.98","526.17","583.76","549.98","5499.85","18.98"
"Mito 40","GTY029 25C 2","Mito","8","0.00953","811","915","853.75","6830","31.12","352","392","375.75","3006","12.98","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","772.26","978.95","881.7","7053.58","67.73","526.98","624.98","575.63","4605.06","33.66"
"Mito 41","GTY029 25C 2","Mito","6674","7.95","744","1178","936.18","6248041","63.51","303","1375","569.95","3803854","167.46","1782","2523","2010.17","1360886","114.53","2226","3199","2559.24","1732607","145.73","542.76","2992.76","1197.12","7989575","360.85","525.98","19751.09","1565.55","10448507","1951.95"
"Mito 42","GTY029 25C 2","Mito","4","0.00476","797","886","846","3384","38.41","328","404","365.25","1461","27.89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","609.02","682.34","641.78","2567.13","28.44","542.31","553.9","548.5","2193.98","5.27"
"Mito 43","GTY029 25C 2","Mito","2","0.00238","976","1000","988","1976","12","403","444","423.5","847","20.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","911.99","1019.6","965.79","1931.59","53.81","527.64","540.61","534.12","1068.25","6.49"
"Mito 44","GTY029 25C 2","Mito","2142","2.55","759","1252","1008.92","2161098","86.02","341","1744","707.8","1516097","273.65","1799","2382","2068.33","405393","130.58","2272","2985","2602.08","510008","157.26","623.51","3219.85","1418.22","3037821.25","486.1","525.99","16047.84","2084.14","4464234.5","2514.03"
"Mito 45","GTY029 25C 2","Mito","11798","14.05","726","1507","998.88","11784831","89.35","338","1865","688.02","8117293","198.58","1754","2295","2039.07","3164637","98.17","2198","2919","2579.08","4002729","125.59","469.53","5899.19","1297.21","15304507","481","525.95","18793.4","1934.45","22822682","2008.11"
"Mito 46","GTY029 25C 2","Mito","28","0.0333","839","1041","944.29","26440","44.28","408","504","441.25","12355","26.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","654.41","1026.51","818.25","22911.07","88.84","527.55","708.44","603.07","16885.9","57.73"
"Mito 47","GTY029 25C 2","Mito","2242","2.67","800","1200","994.54","2229753","55.4","357","1352","640.37","1435705","170.85","1902","2286","2142.24","784061","69.07","2372","2876","2694.03","986014","90.31","590.77","2718.63","1225.17","2746824","307.29","526.32","15136.01","2055.83","4609164","2073.22"
"Mito 48","GTY029 25C 2","Mito","39","0.0464","759","888","833.85","32520","31.02","378","474","420.31","16392","21.61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","562.51","800.16","657.11","25627.13","58.75","527.14","717.53","600.53","23420.84","53.29"
"Mito 49","GTY029 25C 2","Mito","2182","2.6","770","1098","926.4","2021396","49.76","374","1260","718.59","1567967","174.63","1620","2071","1841.4","476922","121.94","2171","2791","2499.25","647307","156.24","610.12","2383.45","1191.92","2600771.75","307.92","526.31","15916.98","2087.22","4554306","1965.53"
"Mito 50","GTY029 25C 2","Mito","5514","6.57","739","1211","963.19","5311017","76.23","327","1588","741.67","4089593","246.26","1872","2320","2001.77","1042920","85.41","2304","2954","2504.32","1304750","117.75","578.13","2728.62","1269.06","6997572.5","390.29","525.92","16233.83","1930.67","10645733","2092.7"
