filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))",Min (roGFP 470 (Red)),Max (roGFP 470 (Red)),Mean (roGFP 470 (Red)),Sum (roGFP 470 (Red)),Standard Deviation (roGFP 470 (Red)),Min (roGFP 470 (Green)),Max (roGFP 470 (Green)),Mean (roGFP 470 (Green)),Sum (roGFP 470 (Green)),Standard Deviation (roGFP 470 (Green)),Min (roGFP 470 (Blue)),Max (roGFP 470 (Blue)),Mean (roGFP 470 (Blue)),Sum (roGFP 470 (Blue)),Standard Deviation (roGFP 470 (Blue))
PSY106 clump 36C 5 04 m-35.csv,Mito 8,9,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.1,921.44,677.68,351715.94,79.25,62.74,43.48,1.55,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,Mito 20,21,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.93,2485.83,676.81,1771892,162.95,64.11,42.2,2.49,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,Mito 39,40,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.56,939.72,625.48,235181.8,100.96,62.23,43.9,3.24,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,Mito 41,42,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.84,983.57,626.73,272625.81,113.25,64.19,44.68,3.22,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,Mito 66,67,0.0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507.34,705.27,591.71,26035.28,40.75,63.9,41.89,5.93,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,Mito 67,68,0.0143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.47,707.99,596.42,7157.08,58.54,63.48,42.1,6,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-50.csv,ROIs 1,1,165.51,426,788,557.89,77546324,36.86,208,573,296.61,41228706,33.79,257.29,2485.83,558.57,77640400,94.06,NA,NA,NA,PSY106 clump 36C 5,ROIs,Object,111.08,2550.38,297.49,41351004,119.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-50.csv,Mito 5,6,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495.51,660.76,580.8,8131.26,44.15,64.44,41.22,0.814,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-50.csv,Mito 6,7,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.39,956.83,649.5,1063237.5,90.81,62.56,43.63,2.13,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-50.csv,Mito 18,19,0.0238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.55,835.63,730.77,14615.33,66.37,64.8,42.66,1.68,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
