Time [s],Index,X Coord [µm],Y Coord [µm],Z Coord [µm],Ti ZDrive [µm],NIDAQ Piezo Z (name: Piezo Z) [µm],PFS Offset,Camera Temperature [°C],Exposure Time [ms],PFS Status
10.6735,243,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.717,244,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.7605,245,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.804,246,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.8475,247,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.891,248,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.9345,249,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.978,250,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
11.0215,251,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
11.065,252,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.1085,253,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.152,254,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.1955,255,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.239,256,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.2825,257,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.326,258,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.3695,259,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.413,260,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.4565,261,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.5,262,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.5435,263,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.5869,264,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.6304,265,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.6739,266,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.7174,267,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.7609,268,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.8044,269,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.8479,270,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.8914,271,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.9349,272,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
11.9784,273,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
12.0219,274,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
12.0654,275,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.1089,276,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.1524,277,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.1959,278,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.2394,279,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.2829,280,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.3264,281,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.3699,282,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.4134,283,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.4568,284,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.5003,285,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.5438,286,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.5873,287,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.6308,288,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.6743,289,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.7178,290,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.7613,291,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.8048,292,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.8483,293,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.8918,294,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.9353,295,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
12.9788,296,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
13.0223,297,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
13.0658,298,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.1093,299,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.1528,300,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.1963,301,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.2398,302,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.2833,303,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.3267,304,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.3702,305,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.4137,306,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.4572,307,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.5007,308,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.5442,309,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.5877,310,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.6312,311,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.6747,312,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.7182,313,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.7617,314,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.8052,315,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.8487,316,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.8922,317,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.9357,318,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
13.9792,319,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
14.0227,320,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
14.1026,321,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.1461,322,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.1896,323,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.2331,324,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.2766,325,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.3201,326,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.3636,327,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.4071,328,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.4506,329,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.4941,330,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.5376,331,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.5811,332,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.6246,333,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.6681,334,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.7116,335,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.7551,336,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.7986,337,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.842,338,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.8855,339,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.929,340,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
14.9725,341,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
15.016,342,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
15.0595,343,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
15.103,344,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
15.1465,345,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
15.19,346,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
15.2335,347,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
15.277,348,6917.8,-177.2,2757.55,2807.55,50,8159,-70,20,1
